state3,steps,sum_pnl,mean_pnl,mean_option_pnl,mean_hedge_pnl,mean_agent_minus_bs,mean_delta_gap,year,portfolio,share_negative_steps,share_negative_loss
spot_down/option_down/iv_up,408,-6.675082655046255,-0.016360496703544742,-0.10156988447066087,0.08520938768522457,-0.00448260085448261,-0.01605500396826151,2017,agent,0.12397447584320875,0.04811335222888503
spot_up/option_down/iv_down,368,-22.084965145475753,-0.060013492243140634,-0.030985940584935975,-0.029027551643704644,0.001928460910222132,-0.014812232719980526,2017,agent,0.11182011546642358,0.15918629954396585
spot_up/option_down/iv_flat,5,-1.0242966987001,-0.20485933974002002,-0.09920108702974202,-0.10565825221558087,0.030847041037292,-0.05773126105473116,2017,agent,0.0015192950470981465,0.007383031851176461
spot_up/option_down/iv_up,20,-0.6798680535906276,-0.03399340267953138,-0.019967320532891516,-0.0140260822203075,0.0005781191968208704,-0.007485771738589986,2017,agent,0.006077180188392586,0.004900423383797886
spot_up/option_flat/iv_down,3,-0.21839826286917002,-0.07279942095639001,0.0,-0.07279942073744194,6.759569203327691e-06,-0.002452806103048858,2017,agent,0.0009115770282588879,0.001574193622854575
spot_up/option_flat/iv_up,2,-0.01400140141373308,-0.00700070070686654,0.0,-0.007000700664254024,0.00038863298220668846,-0.024541237442877298,2017,agent,0.0006077180188392585,0.00010092075150675124
spot_up/option_up/iv_down,1179,-52.82627122509222,-0.04480599764638865,0.14134395175929643,-0.18614994940200066,0.004289861839132481,-0.006256750901910284,2017,agent,0.35824977210574294,0.38076666997824066
spot_up/option_up/iv_flat,74,-2.6232288548817686,-0.03544903857948336,0.11836239946116595,-0.15381143832510163,0.013679852739517823,-0.03587835451561804,2017,agent,0.022485566697052567,0.01890798067893388
spot_up/option_up/iv_up,372,-5.2383324182288655,-0.014081538758679747,0.11833698767985001,-0.1324185262661905,-0.0030396809112025734,0.008836426447321421,2017,agent,0.11303555150410209,0.03775739503985004
spot_down/option_down/iv_down,974,-84.24752630228444,-0.0864964335752407,-0.30848380647313706,0.22198737296788731,-0.01689787782807166,-0.030116093550804468,2018,agent,0.26438653637350706,0.35186346264198953
spot_down/option_down/iv_flat,36,-2.1478280878779286,-0.05966189132994246,-0.21207127407267937,0.15240938278527633,-0.014060643405041515,-0.03004124822091116,2018,agent,0.009771986970684038,0.008970497548483614
spot_down/option_down/iv_up,728,-21.28802218795378,-0.02924178871971673,-0.23013183470399545,0.20089004619824039,-0.03193326127753223,-0.04235670651296299,2018,agent,0.1976112920738328,0.08891035177670027
spot_up/option_down/iv_down,333,-32.113344197024674,-0.09643646906013416,-0.045379874102990304,-0.05105659501331113,0.015553447968303876,-0.051078943675791785,2018,agent,0.09039087947882736,0.13412278059816157
spot_up/option_down/iv_flat,14,-1.64606887972722,-0.11757634855194429,-0.050339651163136497,-0.06723669709016868,0.01313965079001357,-0.03957635673994748,2018,agent,0.003800217155266015,0.006874878363666982
spot_up/option_down/iv_up,6,-0.2597904737129679,-0.04329841228549464,-0.010974099241585059,-0.03232431311919333,0.0034402288644106577,-0.029946421422658635,2018,agent,0.0016286644951140066,0.001085026227524605
spot_up/option_flat/iv_down,2,-0.07603736165341,-0.038018680826705,0.0,-0.03801868113908709,0.0057221163662,-0.010897324352371326,2018,agent,0.0005428881650380022,0.00031757335242737686
spot_up/option_flat/iv_flat,1,-0.027541545613469998,-0.027541545613469998,0.0,-0.027541545755886493,0.002541518136260003,-0.04370259791277392,2018,agent,0.0002714440825190011,0.00011502846470882167
spot_up/option_flat/iv_up,1,-1.2406186566091114e-05,-1.2406186566091114e-05,0.0,-1.2406186620786093e-05,0.0051194485831560456,-0.0064441593801129,2018,agent,0.0002714440825190011,5.1814978491647235e-08
